company name,city,state,description
Philadelphia Eagles,Philadelphia,PA,"The Philadelphia Eagles are known as one of the more progressive organizations in professional sports and have come to be considered one of the most storied sports franchises in history. As an organization the Philadelphia Eagles is both an exciting and demanding place to work fueled by passion, dedication, and a commitment to the community and Eagles Autism Foundation."
IxDF - The Interaction Design Foundation,Austin,TX,"On a mission to help people who feel stuck in their careers make a fast and fulfilling transition into design and tech. We're here to help you build skills that improve lives, create products and services people love, and lead to salaries that reflect real value."
First Round Capital,San Francisco,CA,"First Round is a venture capital firm that works with founders exclusively at the earliest stages of company building, often when all they have is an ""imagine if."" We fill in where we can until the team is filled out, tackling crucial early hiring and equipping those who are great at building product with the skills to sell it, too."
NoGood,New York,NY,"We were never able to find the growth team we wanted, so we built it — one expert at a time. Born in New York City, we are a team of growth leads, strategy consultants, creatives, engineers, and data scientists who help unlock rapid growth for the world's most iconic brands and fast-growing VC-backed startups."
Fox School of Business at Temple University,Philadelphia,PA,The Fox School of Business transforms students into professionals and leaders through a high-quality business education.
Whizz,New York,NY,"At Whizz, we are on a mission to revolutionize the transportation industry for delivery drivers. We believe that everyone deserves the opportunity to access reliable and convenient mobility solutions, regardless of their financial or credit history."
Thrive Internet Marketing Agency,Dallas,TX,"Thrive is a full-service digital marketing agency headquartered in Arlington, Texas. Since we are a full-service agency, we can handle everything in-house from building a custom WordPress website to managing your social media to developing and executing a search engine marketing campaign."
Cesium,Philadelphia,PA,Cesium is the open platform for software applications designed to unleash the power of 3D geospatial data.
Nuuly,Philadelphia,PA,Nuuly is a curated destination for anyone who loves fashion and is exploring how to wear and buy it in ways that are gentler on the planet and their wallets. Get creative with what you wear every day.
Philadelphia Business Journal,Philadelphia,PA,"The Philadelphia Business Journal is the leading source of local business news, data and networking for the Southeastern Pennsylvania and South Jersey region."
Women in Retail Leadership Circle,Philadelphia,PA,"Women in Retail Leadership Circle (WIRLC) is an exclusive community of women executives at leading retailers and brands. Our mission is to foster leadership development for our members by providing an unparalleled mix of events, content and elite connections."
Prodigy Investigations (A Fraud Fighters Company),New York,NY,"Surveillance Investigations serving risk managers and insurance professionals - Resolving fraud claims - AOE/COE - 50,000+ employers helped - 175,000+ surveillance ops - $500 million+ saved for clients."
Neurodiversity in the Workplace,Philadelphia,PA,"Neurodiversity in the Workplace (NITW), is a non-profit consultancy that designs and implements neurodivergent inclusion practices at partner organizations. NITW works with more than 30 enterprise partners to shape best practices in neurodiversity strategy."
KDR Talent Solutions USA,Philadelphia,PA,"Home of the best talent solutions and jobs for the data, analytics and technology community. Relationships are the cornerstone of how we work. We get to know our clients and candidates and have built up a reputation for receiving 100% interview request rates from resume submissions."
"Concorde, Inc",Philadelphia,PA,"Since 1983, Concorde has established itself as an industry leader in all facets of Employment Screening and Health Services including: Drug and Alcohol Testing, Background Screening and Occupational Health Services."
RMA,Philadelphia,PA,RMA and BAI: Together we're ProSight. RMA and BAI have come together as ProSight Financial Association. BAI's rich history in serving compliance and retail banking leaders complements RMA's deep knowledge and expertise in risk management and commercial banking.
Signium,Chicago,IL,"Business today is more volatile and unpredictable than ever. Our community of specialists is focused on delivering first class leadership outcomes through global executive search and succession, to leadership assessment and development."
Marketri,Philadelphia,PA,"Founded in 2004, Marketri is a technology-enabled B2B growth firm that helps mid-market companies build marketing and business development functions that rival their largest competitors."
Allnessjobs,Philadelphia,PA,We are skilled career agents who connect exceptional talent with some of the most prestigious employers in the country.
Sterlington,New York,NY,"Sterlington PLLC is an international law firm focusing on complex corporate, executive compensation, litigation, and transactional matters. By offering high-level legal expertise and customized client solutions, the firm helps clients around the world achieve their business goals."
Philadelphia Flyers,Philadelphia,PA,"The Philadelphia Flyers are a championship National Hockey League franchise, with a legacy of commitment to victories, fans and the community. The Flyers support the Greater Philadelphia Region through organizations like Flyers Charities, the Flyers Skate Zone."
Brolly Labs LLC,Philadelphia,PA,"Tapping into our decades of experience investing in and operating VC and PE-backed portfolio companies, we are experts in identifying areas for disruption and executing go-to-market strategies."
Ghost Robotics,Philadelphia,PA,"Ghost Robotics develops unstoppable, agile and all-weather autonomous 4-leg robots (quadrupedal or Q-UGVs) offering superior operability over wheeled and tracked devices on unstructured terrain in rough and demanding environments."
Tigerhall,Menlo Park,CA,"Tigerhall is AI built for transformation teams that need to move fast to scale always-on change. Whether it's one large-scale transformation or 2,000 change initiatives, Tigerhall helps internal teams build sustained change capabilities."
Saarthee,Philadelphia,PA,"Saarthee is a global strategy, analytics, technology, and AI consulting company, an Inc 5000 firm unlike any other, where our passion for helping others fuels our approach and our products and solutions."
Eisenhower Fellowships,Philadelphia,PA,"Eisenhower Fellowships identifies, empowers and connects innovative leaders through a transformative fellowship experience and lifelong engagement in a global network of dynamic change agents."
UN/COMMON,Philadelphia,PA,UN/COMMON is the complete agency to complete your brand. We're unconventional in our thinking and profit-driven in our results. And that's why we're fixing the broken agency model by connecting the dots between brands and consumers.
"MGE COMPANIES (MG Engineering, MGE Unified Technologies, MGE Lighting Design Collaborative)",New York,,"MG Engineering, MGE Unified Technologies, MGE Lighting Design Collaborative. We strive to provide comprehensive, best-in-class engineering and Technology services that embrace architectural aesthetics."
Crossbeam,Philadelphia,PA,"Crossbeam is the first and largest Ecosystem-Led Growth platform, used by over 30,000 companies to attract, convert, and grow customer relationships using their partner ecosystems."
Cowbell,Pleasanton,CA,Cowbell is the commercial insurance partner that makes brokers more successful by delivering coverage clients can actually understand and protection that strengthens their business.
"African-American Chamber of Commerce of PA, NJ & DE",Philadelphia,PA,The AACC is the leading advocate for minority owned business in the Delaware Valley and Southeastern Pennsylvania.
"Transamerica Financial Advisors, Inc.",Philadelphia,PA,"Vested in your success, 100 percent. With decades of experience, Transamerica Financial Advisors, LLC., is a full-service, fully licensed, independent Broker/Dealer and Registered Investment Advisor."
Nonprofit Finance Fund,New York,NY,"A nonprofit lender and consultant with 40+ years of national and hyperlocal experience, Nonprofit Finance Fund helps mission-driven organizations adapt, thrive, and drive positive change."
Women Leading Travel,Philadelphia,PA,"Women Leading Travel and Hospitality is an unparalleled community for executive women working across travel and hospitality companies, offering unique networking experiences and an opportunity for professional growth."
Allen & Gerritsen,Boston,MA,"A&G (Allen & Gerritsen) exists to help brands Be Unignorable. We harness creativity to shake markets, shift behaviors and supercharge growth."
Vistar Media,New York,NY,"Vistar Media, a part of T-Mobile Advertising Solutions, is the home of out-of-home (OOH). Out there, in the streets, ad space intersects time and place."
"Black Woman CEO with Quanisha Green, MSS",Philadelphia,PA,"Black Woman CEO is a sisterhood of strong, determined Black women who want to redefine the story of our Black experience and own our true identities."
LLR Partners,Philadelphia,PA,"LLR Partners is a lower middle market private equity firm focused on investing in software and tech-enabled companies within the knowledge economy. Founded in 1999 and headquartered in Philadelphia, LLR has raised over $7.5 billion across seven funds."
"Century Therapeutics, Inc",Philadelphia,PA,"Century Therapeutics is an innovative biotechnology company that is building an industry-leading, allogeneic, iPSC-derived cell therapy platform."
Halfday Iced Tea,Philadelphia,PA,"When Co-founder Kayvon Jahanbakhsh was diagnosed with ulcerative colitis he lost over 80 pounds, and was forced to dramatically change his diet. That's where the idea for Halfday prebiotic iced tea was born."
Doral Renewables LLC,Philadelphia,PA,"Doral Renewables is a Philadelphia-based developer, owner, and operator of renewable energy assets throughout the United States. Our solar and storage development portfolio comprises nearly 18 GW."
gorjana,laguna beach,CA,"Gorjana and Jason Griffin Reidel followed a creative impulse and founded gorjana in Laguna Beach, California in 2004."
IDEA EVOLVER,Philadelphia,PA,"For Pharma, Biotech and Life Sciences. SEARCH + AI VISIBILITY. AI Search Intelligence for Life Sciences. We connect search behavior, AI-generated answers and site activity through a distinctly pharmaceutical lens."
UX Jobs by Her UX Path,Philadelphia,,"Page to help share jobs we find for designers of all levels. Set up coaching time to get help with interviews, portfolio writing, resumes, and more."
Challenger,Philadelphia,PA,"Challenger, powered by Richardson, transforms how sales organizations engage customers by equipping sellers to lead with insight to reframe how buyers think about their business."
Smith & Diction,Philadelphia,PA,Thoughtful identities for imaginative clients.
Foyr,New York,NY,"Foyr helps interior designers and contractor businesses run their entire workflow in one place. Design in 3D, create floor plans, generate renders, and manage projects from start to finish."
Prevail InfoWorks,Philadelphia,PA,"Through eight product approvals, Prevail InfoWorks has been the CRO/FSP that uniquely delivers, from clinical experts, a complete eClinical suite, end-to-end global trial services, and the patented Single Interface."
SimpleTire,Philadelphia,PA,SimpleTire is a B2B technology-enabled platform that connects all the participants in the tire industry to drive better consumer experience and improve efficiencies.
Nextmv,Philadelphia,PA,"Nextmv, now part of FICO, is a DecisionOps platform that accelerates optimization AI teams with tools for deployment, testing, CI/CD, collaboration, and management of decision models."
Visit Philadelphia,Philadelphia,PA,"VISIT PHILADELPHIA is our name and our mission. As the region's official tourism marketing agency, we build Greater Philadelphia's image, drive visitation and boost the economy."
Proscia,Philadelphia,PA,"Proscia brings enterprise-grade intelligence to pathology, powering precision medicine from discovery to diagnosis. Our Concentriq platform is built for the people behind the most critical decisions in medicine."
Asset-Map,Philadelphia,PA,"Founded by Certified Financial Planning Practitioner H. Adam Holt in 2013, Asset-Map is on a mission to elevate the financial wellness of millions of people."
LAGOS,Philadelphia,PA,"In 1977 LAGOS was founded in Philadelphia by artist and master jeweler Steven Lagos. The brand pioneered a new category of jewelry, between fashion and fine jewelry."
FuzeMee,Philadelphia,PA,"We're bringing trust back to online transactions, starting where it matters most: on campus. FuzeMee is a student-only marketplace designed to make buying and selling safer, faster, and verified."
Society for Industrial and Applied Mathematics (SIAM),Philadelphia,PA,"SIAM, headquartered in Philadelphia, Pennsylvania, is an international society of 14,000+ individual, academic, and corporate members from 100+ countries."
Nelson Frank,Philadelphia,PA,"ServiceNow recruitment experts, it's all we do. Nelson Frank is the leader in ServiceNow recruitment."
Chop Dawg,Philadelphia,PA,"At Chop Dawg, we're more than an ordinary app development agency, we're your extended team, delivering the results you need."
Cabaletta Bio,Philadelphia,PA,Cabaletta Bio (Nasdaq: CABA) is a clinical-stage biotechnology company focused on the discovery and development of engineered T cell therapies for autoimmune diseases.
Resume Rebuilders - US-Based Certified Professional Resume Writers,Chicago,IL,"Resume Rebuilders is a nationwide professional resume writing service specializing in ATS-optimized resumes, LinkedIn profile optimization, cover letters, and career branding solutions."
Launch Potato,Delray Beach,FL,"As The Discovery and Conversion Company, we connect advertisers to customers at all parts of the consumer journey, from awareness to consideration to purchase."
Dynamic Energy,Philadelphia,PA,"Dynamic Energy is a full-service clean energy developer and EPC delivering an integrated suite of solar, energy storage, and electric vehicle charging solutions."
dakota,Bryn Mawr,PA,"Dakota is a financial, software, data and media company based in Philadelphia, PA. Dakota's flagship product, Dakota Marketplace, is a database of LPs, GPs, Private Companies and Public Companies."
G2 Startup Advisors,Philadelphia,PA,"G2 Advisors is a high-impact team specializing in executive search, fractional HR leadership, and relationship-driven management coaching."
Cerity Partners Ventures,Philadelphia,PA,"Cerity Partners Ventures is the corporate venture practice of Cerity Partners. We help corporations work with innovative startups, with the goal of fueling their mutual success."
Think Company,Philadelphia,PA,"Think Company is an award-winning experience design and development consultancy. Our team understands highly-regulated and complex markets, shapes solutions using data."
TITAN 100,Chicago | Colorado | Dallas Fort Worth | Georgia | Miami | Nashville | Philadelphia | Phoenix | Salt Lake City | St. Louis | Tampa Bay | Wisconsin,,The Titan 100 is a national program that recognizes the top 100 CEO's and C-level executives in a region.
Finch Brands,Philadelphia,PA,"Finch Brands is a boutique brand consultancy that helps brands win when it matters most. We accomplish this by blending insight, intuition, and creativity to shape brand strategy."
DBI Consultants,New York,NY,"We evaluate damaged structures. As construction experts, we provide independent recommendations and analyses for clients around the world in the insurance and legal industries."
Opportunity Finance Network,Washington,DC,Opportunity Finance Network (OFN) is the leading network of community development financial institutions (CDFIs) with a proven expertise in lending prudently and productively in unconventional markets.
Dalfen Industrial,Dallas,TX,"Dalfen Industrial is one of the nation's largest buyers of industrial real estate, focused on high-quality industrial properties in key markets throughout the U.S. and Canada."
BeatStars,Austin,TX,BeatStars is a global music marketplace offering everything needed to help music creators and entrepreneurs get started growing their business.
"InstaMed, a J.P. Morgan company",Philadelphia,,"J.P. Morgan Healthcare Payments has integrated InstaMed solutions to deliver an end-to-end suite of payments, treasury, and banking solutions to healthcare organizations of all sizes."
Lugg,San Francisco,CA,"Lugg is the easiest way to move or deliver anything, right when you need it. Think of us as the ""Uber for movers""."
Tech Elevator,Cleveland,OH,Tech Elevator is an intensive educational provider helping individuals and companies acquire in-demand technology skills for the modern workforce.
Penn Engineering,Philadelphia,PA,"Founded by Benjamin Franklin, America's First Engineer, the University of Pennsylvania was the first of its kind; a university created for the purpose of building knowledge."
More Recruits,Philadelphia,PA,"At More Recruits, we specialize in empowering businesses to scale and thrive by connecting them with exceptional talent."
Philadelphia magazine,Philadelphia,PA,"Philadelphia magazine is a multi-faceted media property that fuels the region's population to thrive, prosper and enjoy everyday life to the fullest."
"Data Intelligence, LLC",Marlton,NJ,"Data Intelligence, LLC (DI) provides mission focused systems engineering, full lifecycle software development and cybersecurity solutions for complex IT and C5ISR system."
Philadelphia Convention & Visitors Bureau,Philadelphia,PA,"The Philadelphia Convention & Visitors Bureau (PHLCVB), a private non-profit membership corporation, is the official Tourism Promotion Agency for the City of Philadelphia."
SYSTRA USA,New York,NY,"SYSTRA USA, Inc. is home to designers, engineers, architects, and construction and program managers who partner with clients that deliver public transportation, educational facilities, and affordable housing."
Freebird,Philadelphia,,"At Freebird, we make shaving effortless. We're a fast-growing, family-built brand redefining the head and body shaving experience."
ARC by ChargeItSpot,Philadelphia,PA,"Managing enterprise devices is complex. ARC by ChargeItSpot simplifies it. ARC was launched in 2021 by ChargeItSpot, a pioneer in public mobile charging stations."
Brownstein Group,Philadelphia,PA,"Brownstein Group is one of the longest-running independent agency networks in the country. Comprised of four distinct agencies, we help clients navigate the changing tides of culture and business."
